,DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Latitude,Longitude
227,10852.0,06/10/2019 12:10:00 PM,Hartigan (Albion),81.0,52.0,64.9,42.0027,-87.6564
229,10759.0,06/10/2019 12:11:00 PM,Rogers,97.0,77.0,86.4,42.0213,-87.6666
230,10753.0,06/10/2019 12:06:00 PM,Oakwood,8.0,15.0,11.0,41.8211,-87.5976
231,10754.0,06/10/2019 12:07:00 PM,12th Street,9.0,3.0,5.2,41.8638,-87.6083
232,10851.0,06/10/2019 12:09:00 PM,Foster,42.0,58.0,49.4,41.9785,-87.6515
233,10853.0,06/10/2019 12:13:00 PM,Leone,27.0,145.0,62.6,42.0131,-87.6635
234,10793.0,06/10/2019 12:06:00 PM,57th Street,3.0,123.0,19.2,41.7911,-87.5797
238,10798.0,06/11/2019 12:26:00 PM,Hartigan (Albion),6.0,8.0,6.9,42.0027,-87.6564
239,10830.0,06/11/2019 12:22:00 PM,Oakwood,2.0,2.0,2.0,41.8211,-87.5976
240,10760.0,06/11/2019 12:20:00 PM,Calumet,17.0,227.0,62.1,41.7142,-87.5299
241,10795.0,06/11/2019 12:21:00 PM,South Shore,7.0,3.0,4.6,41.7689,-87.5636
242,10834.0,06/11/2019 12:25:00 PM,Foster,1.0,8.0,2.8,41.9785,-87.6515
243,10835.0,06/11/2019 12:25:00 PM,Osterman,21.0,37.0,27.9,41.9877,-87.6545
244,10794.0,06/11/2019 12:21:00 PM,Rainbow,11.0,141.0,39.4,41.758,-87.551
245,10855.0,06/11/2019 12:23:00 PM,Ohio Street,198.0,109.0,146.9,41.8935,-87.6152
246,10833.0,06/11/2019 12:24:00 PM,North Avenue,4.0,19.0,8.7,41.9148,-87.6273
247,10831.0,06/11/2019 12:23:00 PM,Margaret T Burroughs (31st),35.0,56.0,44.3,41.8393,-87.6072
249,10797.0,06/11/2019 12:22:00 PM,57th Street,187.0,13.0,49.3,41.7911,-87.5797
250,10854.0,06/11/2019 12:23:00 PM,12th Street,37.0,3.0,10.5,41.8638,-87.6083
251,10856.0,06/11/2019 12:25:00 PM,Montrose,10.0,12.0,11.0,41.9655,-87.6385
252,10761.0,06/11/2019 12:26:00 PM,Marion Mahony Griffin (Jarvis),6.0,2.0,3.5,42.0161,-87.6647
253,10857.0,06/11/2019 12:27:00 PM,Rogers,17.0,17.0,17.0,42.0213,-87.6666
254,10832.0,06/11/2019 12:24:00 PM,Oak Street,5.0,6.0,5.5,41.9032,-87.6235
255,10796.0,06/11/2019 12:22:00 PM,63rd Street,36.0,8.0,17.0,41.7827,-87.5748
256,10836.0,06/11/2019 12:26:00 PM,Leone,3.0,2.0,2.4,42.0131,-87.6635
257,10837.0,06/11/2019 12:27:00 PM,Howard,4.0,19.0,8.7,42.0188,-87.6663
258,10877.0,06/12/2019 12:34:00 PM,Hartigan (Albion),48.0,7.0,18.3,42.0027,-87.6564
259,10866.0,06/12/2019 12:29:00 PM,57th Street,81.0,134.0,104.2,41.7911,-87.5797
260,10865.0,06/12/2019 12:29:00 PM,63rd Street,29.0,204.0,76.9,41.7827,-87.5748
261,10879.0,06/12/2019 12:35:00 PM,Marion Mahony Griffin (Jarvis),5.0,53.0,16.3,42.0161,-87.6647
262,10868.0,06/12/2019 12:30:00 PM,Margaret T Burroughs (31st),6.0,8.0,6.9,41.8393,-87.6072
263,10872.0,06/12/2019 12:32:00 PM,Humboldt,9.0,5.0,6.7,41.90643,-87.703717
264,10878.0,06/12/2019 12:34:00 PM,Leone,36.0,4.0,12.0,42.0131,-87.6635
265,10873.0,06/12/2019 12:33:00 PM,North Avenue,68.0,5.0,18.4,41.9148,-87.6273
266,10875.0,06/12/2019 12:33:00 PM,Foster,4.0,4.0,4.0,41.9785,-87.6515
267,10874.0,06/12/2019 12:33:00 PM,Montrose,31.0,26.0,28.4,41.9655,-87.6385
268,10881.0,06/12/2019 12:36:00 PM,Rogers,20.0,5.0,10.0,42.0213,-87.6666
269,10867.0,06/12/2019 12:30:00 PM,Oakwood,1.0,12.0,3.5,41.8211,-87.5976
270,10762.0,06/12/2019 12:27:00 PM,Calumet,177.0,32.0,75.3,41.7142,-87.5299
271,10876.0,06/12/2019 12:34:00 PM,Osterman,17.0,6.0,10.1,41.9877,-87.6545
272,10764.0,06/12/2019 12:28:00 PM,South Shore,10.0,92.0,30.3,41.7689,-87.5636
273,10870.0,06/12/2019 12:31:00 PM,Ohio Street,6.0,15.0,9.5,41.8935,-87.6152
274,10871.0,06/12/2019 12:32:00 PM,Oak Street,11.0,18.0,14.1,41.9032,-87.6235
275,10869.0,06/12/2019 12:31:00 PM,12th Street,239.0,143.0,184.9,41.8638,-87.6083
277,10763.0,06/12/2019 12:28:00 PM,Rainbow,3.0,28.0,9.2,41.758,-87.551
278,10880.0,06/12/2019 12:35:00 PM,Howard,2.0,13.0,5.1,42.0188,-87.6663
280,10888.0,06/13/2019 11:42:00 AM,Oakwood,5.0,5.0,5.0,41.8211,-87.5976
281,10906.0,06/13/2019 11:41:00 AM,63rd Street,3262.0,1800.0,2423.1,41.7827,-87.5748
282,10909.0,06/13/2019 11:44:00 AM,Ohio Street,153.0,79.0,109.9,41.8935,-87.6152
283,10891.0,06/13/2019 11:45:00 AM,Hartigan (Albion),1249.0,123.0,392.0,42.0027,-87.6564
284,10911.0,06/13/2019 11:46:00 AM,Leone,232.0,497.0,339.6,42.0131,-87.6635
285,10907.0,06/13/2019 11:42:00 AM,Margaret T Burroughs (31st),1277.0,1618.0,1437.4,41.8393,-87.6072
286,10887.0,06/13/2019 11:42:00 AM,57th Street,401.0,249.0,316.0,41.7911,-87.5797
287,10892.0,06/13/2019 11:46:00 AM,Rogers,318.0,170.0,232.5,42.0213,-87.6666
288,10912.0,06/13/2019 11:47:00 AM,Marion Mahony Griffin (Jarvis),280.0,198.0,235.5,42.0161,-87.6647
289,10908.0,06/13/2019 11:43:00 AM,12th Street,134.0,119.0,126.3,41.8638,-87.6083
290,10885.0,06/13/2019 11:39:00 AM,Calumet,1302.0,479.0,789.7,41.7142,-87.5299
291,10905.0,06/13/2019 11:41:00 AM,South Shore,794.0,503.0,632.0,41.7689,-87.5636
292,10910.0,06/13/2019 11:44:00 AM,Oak Street,39.0,40.0,39.5,41.9032,-87.6235
293,10889.0,06/13/2019 11:44:00 AM,Humboldt,1.0,4.0,2.0,41.90643,-87.703717
294,10890.0,06/13/2019 11:45:00 AM,North Avenue,65.0,70.0,67.5,41.9148,-87.6273
295,10886.0,06/13/2019 11:40:00 AM,Rainbow,180.0,125.0,150.0,41.758,-87.551
296,10955.0,06/14/2019 12:43:00 PM,Osterman,39.0,6.0,15.3,41.9877,-87.6545
297,10928.0,06/14/2019 12:45:00 PM,Marion Mahony Griffin (Jarvis),181.0,11.0,44.6,42.0161,-87.6647
298,10952.0,06/14/2019 12:42:00 PM,North Avenue,31.0,33.0,32.0,41.9148,-87.6273
299,10926.0,06/14/2019 12:44:00 PM,Hartigan (Albion),69.0,42.0,53.8,42.0027,-87.6564
300,10945.0,06/14/2019 12:40:00 PM,63rd Street,18.0,54.0,31.2,41.7827,-87.5748
301,10894.0,06/14/2019 12:39:00 PM,Rainbow,140.0,129.0,134.4,41.758,-87.551
302,10946.0,06/14/2019 12:40:00 PM,57th Street,4.0,17.0,8.2,41.7911,-87.5797
303,10929.0,06/14/2019 12:45:00 PM,Howard,99.0,10.0,31.5,42.0188,-87.6663
