,Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Latitude,Longitude
5255,107713.0,05/31/2013 12:00:00 AM,Calumet,308.0,44.0,116.4,41.7142,-87.5299
5256,112478.0,07/18/2013 12:00:00 AM,Montrose,378.0,727.0,524.2,41.9655,-87.6385
5257,112218.0,05/26/2012 12:00:00 AM,Calumet,866.4,727.2,793.8,41.7142,-87.5299
5258,96748.0,07/24/2011 12:00:00 AM,South Shore,83.9,83.6,83.7,41.7689,-87.5636
5259,112025.0,09/02/2011 12:00:00 AM,63rd Street,35.0,16.0,23.7,41.7827,-87.5748
5260,104268.0,06/28/2006 12:00:00 AM,12th Street,1.0,4.1,2.0,41.8638,-87.6083
5261,101699.0,08/29/2007 12:00:00 AM,12th Street,52.8,49.5,51.1,41.8638,-87.6083
5262,93567.0,07/16/2015 12:00:00 AM,Rogers,88.0,75.0,81.2,42.0213,-87.6666
5263,97447.0,08/29/2011 12:00:00 AM,Rainbow,52.0,70.0,60.3,41.758,-87.551
5265,94436.0,08/05/2014 12:00:00 AM,Foster,77.0,37.0,53.4,41.9785,-87.6515
5267,113781.0,08/11/2016 10:00:00 AM,Humboldt,13.0,9.0,10.8,41.90643,-87.703717
5269,91989.0,08/21/2009 12:00:00 AM,Juneway,1.0,2.0,1.4,42.0224,-87.6674
5270,101971.0,07/01/2008 12:00:00 AM,57th Street,2.0,1.0,1.4,41.7911,-87.5797
5272,101399.0,08/26/2007 12:00:00 AM,Foster,167.0,218.7,191.1,41.9785,-87.6515
5273,97917.0,07/07/2006 12:00:00 AM,North Shore,1203.3,1413.6,1304.2,42.0027,-87.6564
5274,102836.0,07/24/2006 12:00:00 AM,Lane,12.0,24.3,17.1,41.9877,-87.6545
5275,89868.0,08/23/2010 12:00:00 AM,Rogers,33.6,31.8,32.7,42.0213,-87.6666
5278,113850.0,08/16/2016 11:15:00 AM,North Avenue,80.0,61.0,69.9,41.9148,-87.6273
5280,100225.0,07/25/2008 12:00:00 AM,North Avenue,44.8,9.8,21.0,41.9148,-87.6273
5281,96186.0,08/08/2011 12:00:00 AM,Montrose Dog,53.8,131.4,84.1,41.96869,-87.642617
5282,95670.0,06/11/2015 12:00:00 AM,Montrose Dog,517.0,99.0,226.2,41.96869,-87.642617
5283,111088.0,06/13/2013 12:00:00 AM,Osterman,130.0,225.0,171.0,41.9877,-87.6545
5284,99817.0,08/28/2008 12:00:00 AM,Rainbow,16.0,9.8,12.5,41.758,-87.551
5285,112915.0,06/15/2016 07:05:00 AM,Oak Street,17.0,33.0,23.7,41.9032,-87.6235
5286,107893.0,08/07/2013 12:00:00 AM,Oakwood,242.0,51.0,111.1,41.8211,-87.5976
5287,95368.0,08/24/2015 12:00:00 AM,57th Street,25.0,26.0,25.5,41.7911,-87.5797
5288,87375.0,06/24/2015 12:00:00 AM,Juneway,3.0,5.0,3.9,42.0224,-87.6674
5289,114037.0,08/29/2016 09:35:00 AM,Leone,73.0,57.0,64.5,42.0131,-87.6635
5290,113200.0,07/05/2016 08:21:00 AM,Howard,7.0,10.0,8.4,42.0188,-87.6663
5291,94223.0,08/07/2009 12:00:00 AM,Rainbow,1299.7,93.2,348.0,41.758,-87.551
5293,102928.0,08/22/2006 12:00:00 AM,Loyola,18.3,42.2,27.8,42.0131,-87.6635
5294,96790.0,07/26/2011 12:00:00 AM,Calumet,88.4,48.8,65.7,41.7142,-87.5299
5297,88545.0,07/30/2010 12:00:00 AM,63rd Street,30.1,34.5,32.2,41.7827,-87.5748
5298,103460.0,08/30/2006 12:00:00 AM,Rainbow,83.6,72.3,77.7,41.758,-87.551
5300,104657.0,06/29/2006 12:00:00 AM,Montrose,3.1,1.0,1.8,41.9655,-87.6385
5301,105392.0,09/11/2013 12:00:00 AM,Montrose,125.0,58.0,85.1,41.9655,-87.6385
5302,102282.0,06/20/2009 12:00:00 AM,12th Street,6.3,6.3,6.3,41.8638,-87.6083
